TAI-UT1: IERS A/B via Astropy including forecast for about a year
(A3,2X,I5,6(I7,1X),1X,I2)        2                  6  5           1.E-4
     47054 234603  234656  234751  234816  234905  235003 
     47084 235060  235149  235238  235307  235416  235489 
     47114 235566  235668  235740  235836  235927  235982 
     47144 236065  236144  236221  236327  236390  236460 
     47174 236550  236611  236694  236753  236796  236882 
     47204 236967  237054  237182  237256  237353  237462 
     47234 237527  237619  237700  237763  237868  237961 
     47264 238055  238181  238245  238321  238413  238477 
     47294 238582  238666  238722  238806  238869  238930 
     47324 239002  239027  239065  239099  239102  239145 
     47354 239158  239169  239207  239226  239264  239309 
     47384 239314  239348  239385  239401  239464  239490 
     47414 239521  239575  239610  239679  239761  239808 
     47444 239876  239969  240029  240137  240204  240278 
     47474 240376  240444  240540  240642  240708  240800 
     47504 240875  240932  241019  241063  241116  241186 
     47534 241230  241303  241371  241416  241505  241560 
     47564 241636  241739  241787  241851  241927  241981 
     47594 242081  242177  242242  242337  242410  242475 
     47624 242578  242636  242721  242820  242901  243015 
     47654 243107  243177  243269  243338  243420  243530 
     47684 243585  243654  243716  243749  243822  243860 
     47714 243888  243943  243979  244037  244113  244143 
     47744 244197  244244  244282  244372  244426  244474 
     47774 244543  244581  244646  244740  244795  244881 
     47804 244954  245020  245140  245236  245342  245455 
     47834 245540  245647  245772  245865  245989  246095 
     47864 246191  246314  246401  246494  246596  246664 
     47894 246755  246854  246919  247013  247086  247165 
     47924 247297  247403  247529  247655  247746  247862 
     47954 247975  248067  248193  248293  248409  248565 
     47984 248670  248792  248910  249002  249131  249249 
     48014 249333  249438  249516  249606  249733  249819 
     48044 249919  250002  250063  250159  250245  250317 
     48074 250401  250454  250512  250588  250627  250695 
     48104 250757  250805  250894  250972  251052  251154 
     48134 251221  251302  251412  251486  251598  251693 
     48164 251780  251911  252015  252119  252231  252317 
     48194 252434  252573  252672  252799  252898  252991 
     48224 253124  253239  253358  253465  253538  253640 
     48254 253757  253856  253986  254087  254186  254306 
     48284 254403  254519  254637  254728  254849  254965 
     48314 255075  255218  255315  255414  255553  255662 
     48344 255790  255915  256015  256137  256258  256365 
     48374 256502  256605  256713  256850  256959  257075 
     48404 257162  257234  257338  257449  257549  257646 
     48434 257696  257749  257823  257871  257954  258017 
     48464 258063  258135  258190  258252  258340  258399 
     48494 258471  258568  258652  258776  258880  258961 
     48524 259075  259184  259291  259411  259492  259579 
     48554 259689  259789  259922  260029  260127  260253 
     48584 260363  260490  260623  260723  260838  260962 
     48614 261063  261189  261287  261387  261517  261632 
     48644 261773  261908  262016  262144  262271  262381 
     48674 262524  262636  262744  262882  263007  263165 
     48704 263323  263448  263592  263730  263859  264028 
     48734 264157  264277  264414  264519  264647  264767 
     48764 264865  264979  265077  265162  265266  265337 
     48794 265416  265506  265570  265651  265714  265760 
     48824 265831  265901  265975  266075  266141  266220 
     48854 266311  266394  266517  266616  266691  266794 
     48884 266884  266980  267106  267199  267309  267428 
     48914 267533  267681  267810  267919  268042  268152 
     48944 268277  268420  268528  268650  268781  268901 
     48974 269048  269163  269272  269405  269530  269665 
     49004 269802  269907  270031  270163  270287  270449 
     49034 270574  270697  270835  270951  271087  271240 
     49064 271368  271508  271640  271760  271919  272061 
     49094 272201  272345  272476  272628  272785  272905 
     49124 273032  273151  273264  273402  273508  273610 
     49154 273718  273806  273912  274010  274082  274161 
     49184 274231  274305  274411  274488  274576  274670 
     49214 274746  274858  274967  275049  275150  275244 
     49244 275345  275480  275586  275701  275814  275924 
     49274 276069  276213  276336  276472  276591  276710 
     49304 276859  276978  277099  277214  277307  277426 
     49334 277551  277670  277800  277912  278032  278164 
     49364 278268  278383  278487  278589  278725  278836 
     49394 278941  279056  279160  279290  279452  279581 
